,path,project,product,domain,driving_model,experiment,ensemble,rcm_model,rcm_version,time_frequency,variable,version,period_start,period_end,latest,correction,reference_dataset
0,/scratchu/tmandonnet/CORDEX5-Adjust/bias-adjusted-input/EUR-11/CLMcom/MOHC-HadGEM2-ES/historical/r1i1p1/CLMcom-CCLM4-8-17/RAW-NN/day/huss/v20260512/huss_EUR-11_MOHC-HadGEM2-ES_historical_r1i1p1_CLMcom-CCLM4-8-17_RAW-NN_day_19500101-20051230.nc,CORDEX5-Adjust,bias-adjusted-input,EUR-11,MOHC-HadGEM2-ES,historical,r1i1p1,CLMcom-CCLM4-8-17,BC2602,day,huss,v20260512,1950-01-01 00:00:00,2005-12-30 00:00:00,True,ERA5 regrid,ERA5-1976-2005
1,/scratchu/tmandonnet/CORDEX5-Adjust/bias-adjusted-input/EUR-11/CLMcom/MOHC-HadGEM2-ES/historical/r1i1p1/CLMcom-CCLM4-8-17/RAW-NN/day/pr/v20260512/pr_EUR-11_MOHC-HadGEM2-ES_historical_r1i1p1_CLMcom-CCLM4-8-17_RAW-NN_day_19500101-20051230.nc,CORDEX5-Adjust,bias-adjusted-input,EUR-11,MOHC-HadGEM2-ES,historical,r1i1p1,CLMcom-CCLM4-8-17,BC2602,day,pr,v20260512,1950-01-01 00:00:00,2005-12-30 00:00:00,True,ERA5 regrid,ERA5-1976-2005
2,/scratchu/tmandonnet/CORDEX5-Adjust/bias-adjusted-input/EUR-11/CLMcom/MOHC-HadGEM2-ES/historical/r1i1p1/CLMcom-CCLM4-8-17/RAW-NN/day/sfcWind/v20260512/sfcWind_EUR-11_MOHC-HadGEM2-ES_historical_r1i1p1_CLMcom-CCLM4-8-17_RAW-NN_day_19500101-20051230.nc,CORDEX5-Adjust,bias-adjusted-input,EUR-11,MOHC-HadGEM2-ES,historical,r1i1p1,CLMcom-CCLM4-8-17,BC2602,day,sfcWind,v20260512,1950-01-01 00:00:00,2005-12-30 00:00:00,True,ERA5 regrid,ERA5-1976-2005
3,/scratchu/tmandonnet/CORDEX5-Adjust/bias-adjusted-input/EUR-11/CLMcom/MOHC-HadGEM2-ES/historical/r1i1p1/CLMcom-CCLM4-8-17/RAW-NN/day/tas/v20260512/tas_EUR-11_MOHC-HadGEM2-ES_historical_r1i1p1_CLMcom-CCLM4-8-17_RAW-NN_day_19500101-20051230.nc,CORDEX5-Adjust,bias-adjusted-input,EUR-11,MOHC-HadGEM2-ES,historical,r1i1p1,CLMcom-CCLM4-8-17,BC2602,day,tas,v20260512,1950-01-01 00:00:00,2005-12-30 00:00:00,True,ERA5 regrid,ERA5-1976-2005
4,/scratchu/tmandonnet/CORDEX5-Adjust/bias-adjusted-input/EUR-11/CLMcom/MOHC-HadGEM2-ES/historical/r1i1p1/CLMcom-CCLM4-8-17/RAW-NN/day/tasmax/v20260512/tasmax_EUR-11_MOHC-HadGEM2-ES_historical_r1i1p1_CLMcom-CCLM4-8-17_RAW-NN_day_19500101-20051230.nc,CORDEX5-Adjust,bias-adjusted-input,EUR-11,MOHC-HadGEM2-ES,historical,r1i1p1,CLMcom-CCLM4-8-17,BC2602,day,tasmax,v20260512,1950-01-01 00:00:00,2005-12-30 00:00:00,True,ERA5 regrid,ERA5-1976-2005
5,/scratchu/tmandonnet/CORDEX5-Adjust/bias-adjusted-input/EUR-11/CLMcom/MOHC-HadGEM2-ES/historical/r1i1p1/CLMcom-CCLM4-8-17/RAW-NN/day/tasmin/v20260512/tasmin_EUR-11_MOHC-HadGEM2-ES_historical_r1i1p1_CLMcom-CCLM4-8-17_RAW-NN_day_19500101-20051230.nc,CORDEX5-Adjust,bias-adjusted-input,EUR-11,MOHC-HadGEM2-ES,historical,r1i1p1,CLMcom-CCLM4-8-17,BC2602,day,tasmin,v20260512,1950-01-01 00:00:00,2005-12-30 00:00:00,True,ERA5 regrid,ERA5-1976-2005
6,/scratchu/tmandonnet/CORDEX5-Adjust/bias-adjusted-input/EUR-11/CLMcom/MOHC-HadGEM2-ES/rcp45/r1i1p1/CLMcom-CCLM4-8-17/RAW-NN/day/huss/v20260512/huss_EUR-11_MOHC-HadGEM2-ES_rcp45_r1i1p1_CLMcom-CCLM4-8-17_RAW-NN_day_20060101-20991130.nc,CORDEX5-Adjust,bias-adjusted-input,EUR-11,MOHC-HadGEM2-ES,rcp45,r1i1p1,CLMcom-CCLM4-8-17,BC2602,day,huss,v20260512,2006-01-01 00:00:00,2099-11-30 00:00:00,True,ERA5 regrid,ERA5-1976-2005
7,/scratchu/tmandonnet/CORDEX5-Adjust/bias-adjusted-input/EUR-11/CLMcom/MOHC-HadGEM2-ES/rcp45/r1i1p1/CLMcom-CCLM4-8-17/RAW-NN/day/pr/v20260512/pr_EUR-11_MOHC-HadGEM2-ES_rcp45_r1i1p1_CLMcom-CCLM4-8-17_RAW-NN_day_20060101-20991130.nc,CORDEX5-Adjust,bias-adjusted-input,EUR-11,MOHC-HadGEM2-ES,rcp45,r1i1p1,CLMcom-CCLM4-8-17,BC2602,day,pr,v20260512,2006-01-01 00:00:00,2099-11-30 00:00:00,True,ERA5 regrid,ERA5-1976-2005
8,/scratchu/tmandonnet/CORDEX5-Adjust/bias-adjusted-input/EUR-11/CLMcom/MOHC-HadGEM2-ES/rcp45/r1i1p1/CLMcom-CCLM4-8-17/RAW-NN/day/sfcWind/v20260512/sfcWind_EUR-11_MOHC-HadGEM2-ES_rcp45_r1i1p1_CLMcom-CCLM4-8-17_RAW-NN_day_20060101-20991130.nc,CORDEX5-Adjust,bias-adjusted-input,EUR-11,MOHC-HadGEM2-ES,rcp45,r1i1p1,CLMcom-CCLM4-8-17,BC2602,day,sfcWind,v20260512,2006-01-01 00:00:00,2099-11-30 00:00:00,True,ERA5 regrid,ERA5-1976-2005
9,/scratchu/tmandonnet/CORDEX5-Adjust/bias-adjusted-input/EUR-11/CLMcom/MOHC-HadGEM2-ES/rcp45/r1i1p1/CLMcom-CCLM4-8-17/RAW-NN/day/tas/v20260512/tas_EUR-11_MOHC-HadGEM2-ES_rcp45_r1i1p1_CLMcom-CCLM4-8-17_RAW-NN_day_20060101-20991130.nc,CORDEX5-Adjust,bias-adjusted-input,EUR-11,MOHC-HadGEM2-ES,rcp45,r1i1p1,CLMcom-CCLM4-8-17,BC2602,day,tas,v20260512,2006-01-01 00:00:00,2099-11-30 00:00:00,True,ERA5 regrid,ERA5-1976-2005
