,Year,Start Date,End Date,model,original_label,RWL_1,RWL_2,RWL_3,RWL_4,Intensity,Spatial extent,Mean spatial extent,Accumulated area,Duration,Max,HWMId_sum,Exposed_population_ghs,HWMId_pop_ghs,Exposed_population_ssp1,HWMId_pop_ssp1,Exposed_population_ssp2,HWMId_pop_ssp2,Exposed_population_ssp3,HWMId_pop_ssp3,Exposed_population_ssp4,HWMId_pop_ssp4,Exposed_population_ssp5,HWMId_pop_ssp5,Distance,Speed,Total_exposed_population_ghs,Total_exposed_population_ssp1,Total_exposed_population_ssp2,Total_exposed_population_ssp3,Total_exposed_population_ssp4,Total_exposed_population_ssp5,GCM,RCM,simulation,version,ensemble,version_date,calendar,bias-adjusted,grid_mapping,temp_file_path,Global_centroid,Global_centroid_date,Centroid_p1,Centroid_p2,Period RWL 1,Period RWL 2,Period RWL 3,Period RWL 4,Reanalysis,Historical
0,1975,1975-06-09 12:00:00,1975-08-03 12:00:00,KNMI_ICHEC-EC-EARTH_rcp45_r1i1p1_KNMI-RACMO22E_RAW-NN_day_tasmax_v20260512,238,,,,,1.662938810444864,120654.44139464723,42723.71660002049,854474.3320004096,20,5.1439576,404003.5152392317,4520423.249720942,15925916.46092564,,,,,,,,,,,179.96178590581292,8.998089295290645,31216000.14865885,,,,,,ICHEC-EC-EARTH,KNMI-RACMO22E,rcp45,RAW-NN,r1i1p1,v20260512,noleap,False,ERA5,/scratchu/tmandonnet/CORDEX5-Adjust/bias-adjusted-input/EUR-11/KNMI/ICHEC-EC-EARTH/historical/r1i1p1/KNMI-RACMO22E/RAW-NN/day/tasmax/v20260512/tasmax_EUR-11_ICHEC-EC-EARTH_historical_r1i1p1_KNMI-RACMO22E_RAW-NN_day_19500101-20051231.nc,"(np.float64(38.174696398829674), np.float64(39.23853759763551))",1975-07-14 12:00:00,"(np.float64(39.02242964994775), np.float64(40.00976383059652))","(np.float64(37.70439629503593), np.float64(38.810681574609816))",False,False,False,False,False,True
1,1976,1976-06-10 12:00:00,1976-06-19 12:00:00,KNMI_ICHEC-EC-EARTH_rcp45_r1i1p1_KNMI-RACMO22E_RAW-NN_day_tasmax_v20260512,246,,,,,2.1115932574216747,514275.8757518633,316010.1470665048,3160101.470665049,10,10.929499,1130019.9027981234,2606721.799899052,3070995.833257624,,,,,,,,,,,119.64540288057228,11.964540288057227,15337046.793422168,,,,,,ICHEC-EC-EARTH,KNMI-RACMO22E,rcp45,RAW-NN,r1i1p1,v20260512,noleap,False,ERA5,/scratchu/tmandonnet/CORDEX5-Adjust/bias-adjusted-input/EUR-11/KNMI/ICHEC-EC-EARTH/historical/r1i1p1/KNMI-RACMO22E/RAW-NN/day/tasmax/v20260512/tasmax_EUR-11_ICHEC-EC-EARTH_historical_r1i1p1_KNMI-RACMO22E_RAW-NN_day_19500101-20051231.nc,"(np.float64(65.82429986685591), np.float64(24.110411803911813))",1976-06-14 12:00:00,"(np.float64(66.06499003869341), np.float64(25.23085320189135))","(np.float64(65.56708957363875), np.float64(22.913067274607524))",False,False,False,False,False,True
2,1976,1976-06-26 12:00:00,1976-07-08 12:00:00,KNMI_ICHEC-EC-EARTH_rcp45_r1i1p1_KNMI-RACMO22E_RAW-NN_day_tasmax_v20260512,247,,,,,1.617736045298669,243789.15544494748,118266.73382822095,1537467.5397668723,13,5.5659676,604151.6364089992,24531363.883020684,60615800.11946434,,,,,,,,,,,101.74309541651638,7.826391955116643,155112189.4729061,,,,,,ICHEC-EC-EARTH,KNMI-RACMO22E,rcp45,RAW-NN,r1i1p1,v20260512,noleap,False,ERA5,/scratchu/tmandonnet/CORDEX5-Adjust/bias-adjusted-input/EUR-11/KNMI/ICHEC-EC-EARTH/historical/r1i1p1/KNMI-RACMO22E/RAW-NN/day/tasmax/v20260512/tasmax_EUR-11_ICHEC-EC-EARTH_historical_r1i1p1_KNMI-RACMO22E_RAW-NN_day_19500101-20051231.nc,"(np.float64(52.651051818641655), np.float64(17.231595295335303))",1976-07-03 12:00:00,"(np.float64(52.56185725550857), np.float64(16.40451824589427))","(np.float64(52.72146353240116), np.float64(17.884504064846436))",False,False,False,False,False,True
3,1976,1976-07-06 12:00:00,1976-07-22 12:00:00,KNMI_ICHEC-EC-EARTH_rcp45_r1i1p1_KNMI-RACMO22E_RAW-NN_day_tasmax_v20260512,248,,,,,1.9535378410486983,1099203.176971211,410529.66110236873,6979004.238740268,17,6.037317,5506917.977218025,43613229.19737405,230672937.8962916,,,,,,,,,,,283.11969053651967,16.654099443324686,333598907.62198323,,,,,,ICHEC-EC-EARTH,KNMI-RACMO22E,rcp45,RAW-NN,r1i1p1,v20260512,noleap,False,ERA5,/scratchu/tmandonnet/CORDEX5-Adjust/bias-adjusted-input/EUR-11/KNMI/ICHEC-EC-EARTH/historical/r1i1p1/KNMI-RACMO22E/RAW-NN/day/tasmax/v20260512/tasmax_EUR-11_ICHEC-EC-EARTH_historical_r1i1p1_KNMI-RACMO22E_RAW-NN_day_19500101-20051231.nc,"(np.float64(56.857284636021916), np.float64(38.11943291252642))",1976-07-15 12:00:00,"(np.float64(56.29553711219633), np.float64(35.76627439158096))","(np.float64(57.310178853569376), np.float64(40.016605293191176))",False,False,False,False,False,True
4,1977,1977-08-18 12:00:00,1977-08-29 12:00:00,KNMI_ICHEC-EC-EARTH_rcp45_r1i1p1_KNMI-RACMO22E_RAW-NN_day_tasmax_v20260512,255,,,,,1.9356937737993103,180911.8726039228,95485.28757475318,1145823.4508970384,12,5.8799458,907886.0591899544,5641677.103333432,27021448.090544365,,,,,,,,,,,86.5207283630089,7.210060696917409,36485366.62916552,,,,,,ICHEC-EC-EARTH,KNMI-RACMO22E,rcp45,RAW-NN,r1i1p1,v20260512,noleap,False,ERA5,/scratchu/tmandonnet/CORDEX5-Adjust/bias-adjusted-input/EUR-11/KNMI/ICHEC-EC-EARTH/historical/r1i1p1/KNMI-RACMO22E/RAW-NN/day/tasmax/v20260512/tasmax_EUR-11_ICHEC-EC-EARTH_historical_r1i1p1_KNMI-RACMO22E_RAW-NN_day_19500101-20051231.nc,"(np.float64(56.83153313952661), np.float64(43.93841015290143))",1977-08-22 12:00:00,"(np.float64(57.123177347258334), np.float64(43.554941253773144))","(np.float64(56.493006178209654), np.float64(44.38352292298218))",False,False,False,False,False,True
5,1978,1978-08-16 12:00:00,1978-08-30 12:00:00,KNMI_ICHEC-EC-EARTH_rcp45_r1i1p1_KNMI-RACMO22E_RAW-NN_day_tasmax_v20260512,258,,,,,1.3395746826822543,108677.25724626463,49147.59734628053,737213.9601942082,15,3.925006,26275.233823273946,4013182.1313251415,977217.8863312585,,,,,,,,,,,69.01696053399806,4.601130702266537,26424332.61262577,,,,,,ICHEC-EC-EARTH,KNMI-RACMO22E,rcp45,RAW-NN,r1i1p1,v20260512,noleap,False,ERA5,/scratchu/tmandonnet/CORDEX5-Adjust/bias-adjusted-input/EUR-11/KNMI/ICHEC-EC-EARTH/historical/r1i1p1/KNMI-RACMO22E/RAW-NN/day/tasmax/v20260512/tasmax_EUR-11_ICHEC-EC-EARTH_historical_r1i1p1_KNMI-RACMO22E_RAW-NN_day_19500101-20051231.nc,"(np.float64(38.589119682607944), np.float64(39.73517721862493))",1978-08-24 12:00:00,"(np.float64(38.472431716920454), np.float64(39.43160633754655))","(np.float64(38.745953312718285), np.float64(40.14318950159527))",False,False,False,False,False,True
6,1978,1978-07-09 12:00:00,1978-07-14 12:00:00,KNMI_ICHEC-EC-EARTH_rcp45_r1i1p1_KNMI-RACMO22E_RAW-NN_day_tasmax_v20260512,261,,,,,2.4582700555417465,248178.4357412894,173940.70076847414,1043644.2046108448,6,6.724005,819686.6565262312,6363801.429095198,18562326.943062816,,,,,,,,,,,66.01970634638666,11.003284391064442,26213052.66964727,,,,,,ICHEC-EC-EARTH,KNMI-RACMO22E,rcp45,RAW-NN,r1i1p1,v20260512,noleap,False,ERA5,/scratchu/tmandonnet/CORDEX5-Adjust/bias-adjusted-input/EUR-11/KNMI/ICHEC-EC-EARTH/historical/r1i1p1/KNMI-RACMO22E/RAW-NN/day/tasmax/v20260512/tasmax_EUR-11_ICHEC-EC-EARTH_historical_r1i1p1_KNMI-RACMO22E_RAW-NN_day_19500101-20051231.nc,"(np.float64(57.880531943985176), np.float64(40.84234870970358))",1978-07-11 12:00:00,"(np.float64(57.85395472539281), np.float64(40.161407582307376))","(np.float64(57.897264398290176), np.float64(41.271054831036636))",False,False,False,False,False,True
7,1979,1979-06-12 12:00:00,1979-08-24 12:00:00,KNMI_ICHEC-EC-EARTH_rcp45_r1i1p1_KNMI-RACMO22E_RAW-NN_day_tasmax_v20260512,264,,,,,1.5830302724099896,332723.18469440134,59133.01621029109,1655724.4538881506,28,8.122564,655589.0930833388,12036598.16659592,21838445.74647089,,,,,,,,,,,817.2491332729575,29.18746904546277,57729793.72671038,,,,,,ICHEC-EC-EARTH,KNMI-RACMO22E,rcp45,RAW-NN,r1i1p1,v20260512,noleap,False,ERA5,/scratchu/tmandonnet/CORDEX5-Adjust/bias-adjusted-input/EUR-11/KNMI/ICHEC-EC-EARTH/historical/r1i1p1/KNMI-RACMO22E/RAW-NN/day/tasmax/v20260512/tasmax_EUR-11_ICHEC-EC-EARTH_historical_r1i1p1_KNMI-RACMO22E_RAW-NN_day_19500101-20051231.nc,"(np.float64(43.71922610978967), np.float64(40.65336683095306))",1979-08-09 12:00:00,"(np.float64(38.44791611732431), np.float64(39.83213420842989))","(np.float64(45.75672516762402), np.float64(40.970794699366316))",False,False,False,False,False,True
8,1979,1979-06-01 12:00:00,1979-06-05 12:00:00,KNMI_ICHEC-EC-EARTH_rcp45_r1i1p1_KNMI-RACMO22E_RAW-NN_day_tasmax_v20260512,265,,,,,1.8545815327408424,101526.23683298464,87569.76768135719,437848.838406786,5,8.314838,514.7228525899994,6877392.990166076,20497.471145636584,,,,,,,,,,,23.87582256618764,4.775164513237527,28870590.90344873,,,,,,ICHEC-EC-EARTH,KNMI-RACMO22E,rcp45,RAW-NN,r1i1p1,v20260512,noleap,False,ERA5,/scratchu/tmandonnet/CORDEX5-Adjust/bias-adjusted-input/EUR-11/KNMI/ICHEC-EC-EARTH/historical/r1i1p1/KNMI-RACMO22E/RAW-NN/day/tasmax/v20260512/tasmax_EUR-11_ICHEC-EC-EARTH_historical_r1i1p1_KNMI-RACMO22E_RAW-NN_day_19500101-20051231.nc,"(np.float64(44.07949009252784), np.float64(-1.118701550811393))",1979-06-02 12:00:00,"(np.float64(44.03069383159435), np.float64(-1.269146379227831))","(np.float64(44.11885554472302), np.float64(-0.9973330568378957))",False,False,False,False,False,True
9,1979,1979-07-02 12:00:00,1979-07-09 12:00:00,KNMI_ICHEC-EC-EARTH_rcp45_r1i1p1_KNMI-RACMO22E_RAW-NN_day_tasmax_v20260512,270,,,,,1.6291390673773012,231134.08138934596,131567.8335899108,1052542.6687192863,8,4.711249,525584.6115927944,31976550.479757648,72731888.32652679,,,,,,,,,,,34.314147102144695,4.289268387768087,141979114.8860992,,,,,,ICHEC-EC-EARTH,KNMI-RACMO22E,rcp45,RAW-NN,r1i1p1,v20260512,noleap,False,ERA5,/scratchu/tmandonnet/CORDEX5-Adjust/bias-adjusted-input/EUR-11/KNMI/ICHEC-EC-EARTH/historical/r1i1p1/KNMI-RACMO22E/RAW-NN/day/tasmax/v20260512/tasmax_EUR-11_ICHEC-EC-EARTH_historical_r1i1p1_KNMI-RACMO22E_RAW-NN_day_19500101-20051231.nc,"(np.float64(48.033181074778945), np.float64(15.632306447780659))",1979-07-07 12:00:00,"(np.float64(47.91422290564231), np.float64(15.5440426046919))","(np.float64(48.190526836456705), np.float64(15.749052878229302))",False,False,False,False,False,True
