,Year,Start Date,End Date,model,original_label,RWL_1,RWL_2,RWL_3,RWL_4,Intensity,Spatial extent,Mean spatial extent,Accumulated area,Duration,Max,HWMId_sum,Exposed_population_ghs,HWMId_pop_ghs,Exposed_population_ssp1,HWMId_pop_ssp1,Exposed_population_ssp2,HWMId_pop_ssp2,Exposed_population_ssp3,HWMId_pop_ssp3,Exposed_population_ssp4,HWMId_pop_ssp4,Exposed_population_ssp5,HWMId_pop_ssp5,Distance,Speed,Total_exposed_population_ghs,Total_exposed_population_ssp1,Total_exposed_population_ssp2,Total_exposed_population_ssp3,Total_exposed_population_ssp4,Total_exposed_population_ssp5,GCM,RCM,simulation,version,ensemble,version_date,calendar,bias-adjusted,grid_mapping,temp_file_path,Global_centroid,Global_centroid_date,Centroid_p1,Centroid_p2,Period RWL 1,Period RWL 2,Period RWL 3,Period RWL 4,Reanalysis,Historical,Relative spatial extent (%),Relative mean spatial extent (%),Relative accumulated area (%),Exposed_population_ssp1_all_period,HWMId_pop_ssp1_all_period,Exposed_population_ssp2_all_period,HWMId_pop_ssp2_all_period,Exposed_population_ssp3_all_period,HWMId_pop_ssp3_all_period,Exposed_population_ssp4_all_period,HWMId_pop_ssp4_all_period,Exposed_population_ssp5_all_period,HWMId_pop_ssp5_all_period,Total_exposed_population_ssp1_all_period,Total_exposed_population_ssp2_all_period,Total_exposed_population_ssp3_all_period,Total_exposed_population_ssp4_all_period,Total_exposed_population_ssp5_all_period
3074,1976,1976-06-09 12:00:00,1976-06-19 12:00:00,KNMI_ICHEC-EC-EARTH_rcp85_r1i1p1_KNMI-RACMO22E_SBCK-CDFt-ERA5-1976-2005_day_tasmaxAdjust_v20260512,230,,,,,1.8042988602255408,488146.3070134278,250925.89750243383,2760184.872526773,11,10.843471,873918.696805036,2772264.8273991537,3341325.497664524,,,,,,,,,,,121.40097043118408,11.036451857380372,14890828.7978866,,,,,,ICHEC-EC-EARTH,KNMI-RACMO22E,rcp85,SBCK-CDFt-ERA5-1976-2005,r1i1p1,v20260512,noleap,True,ERA5,/bdd/CORDEX-Adjust/bias-adjusted-output/EUR-11/KNMI/ICHEC-EC-EARTH/historical/r1i1p1/KNMI-RACMO22E/SBCK-CDFt-ERA5-1976-2005/day/tasmaxAdjust/v20260512/tasmaxAdjust_EUR-11_ICHEC-EC-EARTH_historical_r1i1p1_KNMI-RACMO22E_SBCK-CDFt-ERA5-1976-2005_day_19500101-20051231.nc,"(np.float64(66.03925458207293), np.float64(23.068592968622823))",1976-06-14 12:00:00,"(np.float64(66.47099435859869), np.float64(24.12462743662484))","(np.float64(65.69827067144176), np.float64(22.234547133054196))",False,False,False,False,False,True,5.691474732285383,2.925635992308858,0.34980430342823304,2772264.8273991537,3341325.497664524,2772264.8273991537,3341325.497664524,2772264.8273991537,3341325.497664524,2772264.8273991537,3341325.497664524,2772264.8273991537,3341325.497664524,14890828.7978866,14890828.7978866,14890828.7978866,14890828.7978866,14890828.7978866
3075,1976,1976-06-26 12:00:00,1976-07-08 12:00:00,KNMI_ICHEC-EC-EARTH_rcp85_r1i1p1_KNMI-RACMO22E_SBCK-CDFt-ERA5-1976-2005_day_tasmaxAdjust_v20260512,231,,,,,1.9043700076094363,337721.1954573617,171884.02318065206,2234492.3013484767,13,8.676129,730164.7727063814,38693350.34109973,72821467.21024783,,,,,,,,,,,67.62993075843514,5.202302366033472,241399156.27041247,,,,,,ICHEC-EC-EARTH,KNMI-RACMO22E,rcp85,SBCK-CDFt-ERA5-1976-2005,r1i1p1,v20260512,noleap,True,ERA5,/bdd/CORDEX-Adjust/bias-adjusted-output/EUR-11/KNMI/ICHEC-EC-EARTH/historical/r1i1p1/KNMI-RACMO22E/SBCK-CDFt-ERA5-1976-2005/day/tasmaxAdjust/v20260512/tasmaxAdjust_EUR-11_ICHEC-EC-EARTH_historical_r1i1p1_KNMI-RACMO22E_SBCK-CDFt-ERA5-1976-2005_day_19500101-20051231.nc,"(np.float64(52.11911336871555), np.float64(17.256408694739612))",1976-07-02 12:00:00,"(np.float64(51.83061283790929), np.float64(17.20388454118707))","(np.float64(52.434634795755905), np.float64(17.31385224895654))",False,False,False,False,False,True,3.937613831932388,2.0040581292143758,0.28318212695420525,38693350.34109973,72821467.21024783,38693350.34109973,72821467.21024783,38693350.34109973,72821467.21024783,38693350.34109973,72821467.21024783,38693350.34109973,72821467.21024783,241399156.27041247,241399156.27041247,241399156.27041247,241399156.27041247,241399156.27041247
3076,1976,1976-07-06 12:00:00,1976-07-22 12:00:00,KNMI_ICHEC-EC-EARTH_rcp85_r1i1p1_KNMI-RACMO22E_SBCK-CDFt-ERA5-1976-2005_day_tasmaxAdjust_v20260512,232,,,,,1.654739362449697,964134.5629085372,318029.3871142688,5406499.580942568,17,7.730695,4284413.002091461,36176212.58902942,161563324.25379884,,,,,,,,,,,294.01945187894853,17.295261875232267,227938300.64990303,,,,,,ICHEC-EC-EARTH,KNMI-RACMO22E,rcp85,SBCK-CDFt-ERA5-1976-2005,r1i1p1,v20260512,noleap,True,ERA5,/bdd/CORDEX-Adjust/bias-adjusted-output/EUR-11/KNMI/ICHEC-EC-EARTH/historical/r1i1p1/KNMI-RACMO22E/SBCK-CDFt-ERA5-1976-2005/day/tasmaxAdjust/v20260512/tasmaxAdjust_EUR-11_ICHEC-EC-EARTH_historical_r1i1p1_KNMI-RACMO22E_SBCK-CDFt-ERA5-1976-2005_day_19500101-20051231.nc,"(np.float64(57.1093293720702), np.float64(38.02843707808115))",1976-07-15 12:00:00,"(np.float64(56.42214068927459), np.float64(35.62187092433537))","(np.float64(57.64740145112156), np.float64(39.9127900747759))",False,False,False,False,False,True,11.241194339642945,3.7080199007533965,0.6851775903566057,36176212.58902942,161563324.25379884,36176212.58902942,161563324.25379884,36176212.58902942,161563324.25379884,36176212.58902942,161563324.25379884,36176212.58902942,161563324.25379884,227938300.64990303,227938300.64990303,227938300.64990303,227938300.64990303,227938300.64990303
3077,1977,1977-06-21 12:00:00,1977-06-28 12:00:00,KNMI_ICHEC-EC-EARTH_rcp85_r1i1p1_KNMI-RACMO22E_SBCK-CDFt-ERA5-1976-2005_day_tasmaxAdjust_v20260512,238,,,,,1.4476690173308142,85286.7904707663,51550.34554622175,412402.7643697739,8,5.028107,151943.57045621256,2036993.629601078,3709841.54586906,,,,,,,,,,,83.70549505899261,10.463186882374076,10027458.198711488,,,,,,ICHEC-EC-EARTH,KNMI-RACMO22E,rcp85,SBCK-CDFt-ERA5-1976-2005,r1i1p1,v20260512,noleap,True,ERA5,/bdd/CORDEX-Adjust/bias-adjusted-output/EUR-11/KNMI/ICHEC-EC-EARTH/historical/r1i1p1/KNMI-RACMO22E/SBCK-CDFt-ERA5-1976-2005/day/tasmaxAdjust/v20260512/tasmaxAdjust_EUR-11_ICHEC-EC-EARTH_historical_r1i1p1_KNMI-RACMO22E_SBCK-CDFt-ERA5-1976-2005_day_19500101-20051231.nc,"(np.float64(59.37692210283657), np.float64(10.045129768639127))",1977-06-24 12:00:00,"(np.float64(59.231392935638524), np.float64(10.680087936339472))","(np.float64(59.53932452135115), np.float64(9.336551934549027))",False,False,False,False,False,True,0.9943896040756726,0.6010441642219179,0.052264709932340676,2036993.629601078,3709841.54586906,2036993.629601078,3709841.54586906,2036993.629601078,3709841.54586906,2036993.629601078,3709841.54586906,2036993.629601078,3709841.54586906,10027458.198711488,10027458.198711488,10027458.198711488,10027458.198711488,10027458.198711488
3078,1978,1978-07-10 12:00:00,1978-07-14 12:00:00,KNMI_ICHEC-EC-EARTH_rcp85_r1i1p1_KNMI-RACMO22E_SBCK-CDFt-ERA5-1976-2005_day_tasmaxAdjust_v20260512,244,,,,,2.023800742257536,99118.17391712117,79375.86733054319,396879.3366527159,5,4.6888857,344279.9470822169,3142806.4821876395,8308824.603642698,,,,,,,,,,,0.1657723918915969,0.0331544783783193,12594840.422965962,,,,,,ICHEC-EC-EARTH,KNMI-RACMO22E,rcp85,SBCK-CDFt-ERA5-1976-2005,r1i1p1,v20260512,noleap,True,ERA5,/bdd/CORDEX-Adjust/bias-adjusted-output/EUR-11/KNMI/ICHEC-EC-EARTH/historical/r1i1p1/KNMI-RACMO22E/SBCK-CDFt-ERA5-1976-2005/day/tasmaxAdjust/v20260512/tasmaxAdjust_EUR-11_ICHEC-EC-EARTH_historical_r1i1p1_KNMI-RACMO22E_SBCK-CDFt-ERA5-1976-2005_day_19500101-20051231.nc,"(np.float64(57.79922719825662), np.float64(43.683244889181324))",1978-07-12 12:00:00,"(np.float64(57.7996885855345), np.float64(43.68433676347996))","(np.float64(57.7987648645379), np.float64(43.68215077512773))",False,False,False,False,False,True,1.1556547171502936,0.9254720086463675,0.050297391774259105,3142806.4821876395,8308824.603642698,3142806.4821876395,8308824.603642698,3142806.4821876395,8308824.603642698,3142806.4821876395,8308824.603642698,3142806.4821876395,8308824.603642698,12594840.422965962,12594840.422965962,12594840.422965962,12594840.422965962,12594840.422965962
3079,1978,1978-08-06 12:00:00,1978-08-11 12:00:00,KNMI_ICHEC-EC-EARTH_rcp85_r1i1p1_KNMI-RACMO22E_SBCK-CDFt-ERA5-1976-2005_day_tasmaxAdjust_v20260512,245,,,,,1.454391888416635,42686.92642609587,36036.57063575991,216219.4238145594,6,6.0243053,44005.346524181325,26469.30171509167,30476.79508605983,,,,,,,,,,,9.141053352523825,1.523508892087304,136515.54821725652,,,,,,ICHEC-EC-EARTH,KNMI-RACMO22E,rcp85,SBCK-CDFt-ERA5-1976-2005,r1i1p1,v20260512,noleap,True,ERA5,/bdd/CORDEX-Adjust/bias-adjusted-output/EUR-11/KNMI/ICHEC-EC-EARTH/historical/r1i1p1/KNMI-RACMO22E/SBCK-CDFt-ERA5-1976-2005/day/tasmaxAdjust/v20260512/tasmaxAdjust_EUR-11_ICHEC-EC-EARTH_historical_r1i1p1_KNMI-RACMO22E_SBCK-CDFt-ERA5-1976-2005_day_19500101-20051231.nc,"(np.float64(69.90557767898262), np.float64(26.222491300851456))",1978-08-08 12:00:00,"(np.float64(69.88548151605535), np.float64(26.099850940860446))","(np.float64(69.92072851246975), np.float64(26.314951920311497))",False,False,False,False,False,True,0.4977023479691444,0.42016343924937877,0.027401963429307303,26469.30171509167,30476.79508605983,26469.30171509167,30476.79508605983,26469.30171509167,30476.79508605983,26469.30171509167,30476.79508605983,26469.30171509167,30476.79508605983,136515.54821725652,136515.54821725652,136515.54821725652,136515.54821725652,136515.54821725652
3080,1979,1979-06-01 12:00:00,1979-06-08 12:00:00,KNMI_ICHEC-EC-EARTH_rcp85_r1i1p1_KNMI-RACMO22E_SBCK-CDFt-ERA5-1976-2005_day_tasmaxAdjust_v20260512,249,,,,,1.971690836976644,440173.0790376937,283482.48908479186,2267859.912678336,8,6.481708,69823.42470160604,64233092.02919301,17604542.586821254,,,,,,,,,,,167.04217283317806,20.880271604147257,343372994.996694,,,,,,ICHEC-EC-EARTH,KNMI-RACMO22E,rcp85,SBCK-CDFt-ERA5-1976-2005,r1i1p1,v20260512,noleap,True,ERA5,/bdd/CORDEX-Adjust/bias-adjusted-output/EUR-11/KNMI/ICHEC-EC-EARTH/historical/r1i1p1/KNMI-RACMO22E/SBCK-CDFt-ERA5-1976-2005/day/tasmaxAdjust/v20260512/tasmaxAdjust_EUR-11_ICHEC-EC-EARTH_historical_r1i1p1_KNMI-RACMO22E_SBCK-CDFt-ERA5-1976-2005_day_19500101-20051231.nc,"(np.float64(48.26025891668659), np.float64(0.7002714542090325))",1979-06-03 12:00:00,"(np.float64(47.389277642688384), np.float64(0.6197365664300102))","(np.float64(48.8886817260453), np.float64(0.758378283759062))",False,False,False,False,False,True,5.132137478418693,3.305225094383594,0.2874108777724866,64233092.02919301,17604542.586821254,64233092.02919301,17604542.586821254,64233092.02919301,17604542.586821254,64233092.02919301,17604542.586821254,64233092.02919301,17604542.586821254,343372994.996694,343372994.996694,343372994.996694,343372994.996694,343372994.996694
3081,1979,1979-07-05 12:00:00,1979-07-09 12:00:00,KNMI_ICHEC-EC-EARTH_rcp85_r1i1p1_KNMI-RACMO22E_SBCK-CDFt-ERA5-1976-2005_day_tasmaxAdjust_v20260512,253,,,,,1.851868897719367,177556.22180979734,145217.05579858462,726085.2789929231,5,5.179999,323498.34471898014,25959077.96638573,49102867.10453947,,,,,,,,,,,5.723600635084595,1.144720127016919,105228805.8893692,,,,,,ICHEC-EC-EARTH,KNMI-RACMO22E,rcp85,SBCK-CDFt-ERA5-1976-2005,r1i1p1,v20260512,noleap,True,ERA5,/bdd/CORDEX-Adjust/bias-adjusted-output/EUR-11/KNMI/ICHEC-EC-EARTH/historical/r1i1p1/KNMI-RACMO22E/SBCK-CDFt-ERA5-1976-2005/day/tasmaxAdjust/v20260512/tasmaxAdjust_EUR-11_ICHEC-EC-EARTH_historical_r1i1p1_KNMI-RACMO22E_SBCK-CDFt-ERA5-1976-2005_day_19500101-20051231.nc,"(np.float64(49.0549702579572), np.float64(15.93435909897106))",1979-07-07 12:00:00,"(np.float64(49.04260448156546), np.float64(15.901252839221646))","(np.float64(49.06803409264758), np.float64(15.969334234448278))",False,False,False,False,False,True,2.070192349038343,1.6931382905080257,0.09201838535369704,25959077.96638573,49102867.10453947,25959077.96638573,49102867.10453947,25959077.96638573,49102867.10453947,25959077.96638573,49102867.10453947,25959077.96638573,49102867.10453947,105228805.8893692,105228805.8893692,105228805.8893692,105228805.8893692,105228805.8893692
3082,1979,1979-07-21 12:00:00,1979-07-28 12:00:00,KNMI_ICHEC-EC-EARTH_rcp85_r1i1p1_KNMI-RACMO22E_SBCK-CDFt-ERA5-1976-2005_day_tasmaxAdjust_v20260512,254,,,,,0.7425963938759061,94979.21182339624,53060.98678795857,424487.8943036686,8,4.211127,325026.85643345735,9723236.73427775,30934854.48001318,,,,,,,,,,,58.65164463314295,7.331455579142869,41868655.4693404,,,,,,ICHEC-EC-EARTH,KNMI-RACMO22E,rcp85,SBCK-CDFt-ERA5-1976-2005,r1i1p1,v20260512,noleap,True,ERA5,/bdd/CORDEX-Adjust/bias-adjusted-output/EUR-11/KNMI/ICHEC-EC-EARTH/historical/r1i1p1/KNMI-RACMO22E/SBCK-CDFt-ERA5-1976-2005/day/tasmaxAdjust/v20260512/tasmaxAdjust_EUR-11_ICHEC-EC-EARTH_historical_r1i1p1_KNMI-RACMO22E_SBCK-CDFt-ERA5-1976-2005_day_19500101-20051231.nc,"(np.float64(47.47891734237985), np.float64(34.4356627648001))",1979-07-23 12:00:00,"(np.float64(47.45863177713008), np.float64(33.96682941992827))","(np.float64(47.49223023440334), np.float64(34.743345968124444))",False,False,False,False,False,True,1.10739705784637,0.6186572780227703,0.05379628504545829,9723236.73427775,30934854.48001318,9723236.73427775,30934854.48001318,9723236.73427775,30934854.48001318,9723236.73427775,30934854.48001318,9723236.73427775,30934854.48001318,41868655.4693404,41868655.4693404,41868655.4693404,41868655.4693404,41868655.4693404
3083,1979,1979-07-18 12:00:00,1979-07-23 12:00:00,KNMI_ICHEC-EC-EARTH_rcp85_r1i1p1_KNMI-RACMO22E_SBCK-CDFt-ERA5-1976-2005_day_tasmaxAdjust_v20260512,255,,,,,1.5991492376952672,143984.07555590197,97737.26768656586,586423.6061193951,6,7.329553,430605.3580190412,7276748.307831629,21574907.101581942,,,,,,,,,,,88.39995749493622,14.733326249156036,29480305.90507948,,,,,,ICHEC-EC-EARTH,KNMI-RACMO22E,rcp85,SBCK-CDFt-ERA5-1976-2005,r1i1p1,v20260512,noleap,True,ERA5,/bdd/CORDEX-Adjust/bias-adjusted-output/EUR-11/KNMI/ICHEC-EC-EARTH/historical/r1i1p1/KNMI-RACMO22E/SBCK-CDFt-ERA5-1976-2005/day/tasmaxAdjust/v20260512/tasmaxAdjust_EUR-11_ICHEC-EC-EARTH_historical_r1i1p1_KNMI-RACMO22E_SBCK-CDFt-ERA5-1976-2005_day_19500101-20051231.nc,"(np.float64(54.84743164254835), np.float64(23.484639114604512))",1979-07-20 12:00:00,"(np.float64(54.59738927697383), np.float64(22.75847363278931))","(np.float64(55.0039675590377), np.float64(23.939245992753758))",False,False,False,False,False,True,1.6787625269391693,1.1395542308699684,0.07431875418717186,7276748.307831629,21574907.101581942,7276748.307831629,21574907.101581942,7276748.307831629,21574907.101581942,7276748.307831629,21574907.101581942,7276748.307831629,21574907.101581942,29480305.90507948,29480305.90507948,29480305.90507948,29480305.90507948,29480305.90507948
