,path,project,product,domain,institute,driving_model,experiment,ensemble,rcm_model,rcm_version,time_frequency,variable,version,period_start,period_end,climatology,latest,directory
0,/bdd/CORDEX/output/EUR-11/GERICS/CNRM-CERFACS-CNRM-CM5/rcp85/r1i1p1/GERICS-REMO2015/v1/day/tasmax/v20170208/tasmax_EUR-11_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_GERICS-REMO2015_v1_day_20210101-20251231.nc,CORDEX,output,EUR-11,GERICS,CNRM-CERFACS-CNRM-CM5,rcp85,r1i1p1,GERICS-REMO2015,v1,day,tasmax,v20170208,2021-01-01T00:00:00,2025-12-31T00:00:00,False,True,/bdd/CORDEX/output/EUR-11/GERICS/CNRM-CERFACS-CNRM-CM5/rcp85/r1i1p1/GERICS-REMO2015/v1/day/tasmax/v20170208
1,/bdd/CORDEX/output/EUR-11/GERICS/CNRM-CERFACS-CNRM-CM5/rcp85/r1i1p1/GERICS-REMO2015/v1/day/tasmax/v20170208/tasmax_EUR-11_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_GERICS-REMO2015_v1_day_20510101-20551231.nc,CORDEX,output,EUR-11,GERICS,CNRM-CERFACS-CNRM-CM5,rcp85,r1i1p1,GERICS-REMO2015,v1,day,tasmax,v20170208,2051-01-01T00:00:00,2055-12-31T00:00:00,False,True,/bdd/CORDEX/output/EUR-11/GERICS/CNRM-CERFACS-CNRM-CM5/rcp85/r1i1p1/GERICS-REMO2015/v1/day/tasmax/v20170208
2,/bdd/CORDEX/output/EUR-11/GERICS/CNRM-CERFACS-CNRM-CM5/rcp85/r1i1p1/GERICS-REMO2015/v1/day/tasmax/v20170208/tasmax_EUR-11_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_GERICS-REMO2015_v1_day_20660101-20701231.nc,CORDEX,output,EUR-11,GERICS,CNRM-CERFACS-CNRM-CM5,rcp85,r1i1p1,GERICS-REMO2015,v1,day,tasmax,v20170208,2066-01-01T00:00:00,2070-12-31T00:00:00,False,True,/bdd/CORDEX/output/EUR-11/GERICS/CNRM-CERFACS-CNRM-CM5/rcp85/r1i1p1/GERICS-REMO2015/v1/day/tasmax/v20170208
3,/bdd/CORDEX/output/EUR-11/GERICS/CNRM-CERFACS-CNRM-CM5/rcp85/r1i1p1/GERICS-REMO2015/v1/day/tasmax/v20170208/tasmax_EUR-11_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_GERICS-REMO2015_v1_day_20460101-20501231.nc,CORDEX,output,EUR-11,GERICS,CNRM-CERFACS-CNRM-CM5,rcp85,r1i1p1,GERICS-REMO2015,v1,day,tasmax,v20170208,2046-01-01T00:00:00,2050-12-31T00:00:00,False,True,/bdd/CORDEX/output/EUR-11/GERICS/CNRM-CERFACS-CNRM-CM5/rcp85/r1i1p1/GERICS-REMO2015/v1/day/tasmax/v20170208
4,/bdd/CORDEX/output/EUR-11/GERICS/CNRM-CERFACS-CNRM-CM5/rcp85/r1i1p1/GERICS-REMO2015/v1/day/tasmax/v20170208/tasmax_EUR-11_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_GERICS-REMO2015_v1_day_20710101-20751231.nc,CORDEX,output,EUR-11,GERICS,CNRM-CERFACS-CNRM-CM5,rcp85,r1i1p1,GERICS-REMO2015,v1,day,tasmax,v20170208,2071-01-01T00:00:00,2075-12-31T00:00:00,False,True,/bdd/CORDEX/output/EUR-11/GERICS/CNRM-CERFACS-CNRM-CM5/rcp85/r1i1p1/GERICS-REMO2015/v1/day/tasmax/v20170208
5,/bdd/CORDEX/output/EUR-11/GERICS/CNRM-CERFACS-CNRM-CM5/rcp85/r1i1p1/GERICS-REMO2015/v1/day/tasmax/v20170208/tasmax_EUR-11_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_GERICS-REMO2015_v1_day_20310101-20351231.nc,CORDEX,output,EUR-11,GERICS,CNRM-CERFACS-CNRM-CM5,rcp85,r1i1p1,GERICS-REMO2015,v1,day,tasmax,v20170208,2031-01-01T00:00:00,2035-12-31T00:00:00,False,True,/bdd/CORDEX/output/EUR-11/GERICS/CNRM-CERFACS-CNRM-CM5/rcp85/r1i1p1/GERICS-REMO2015/v1/day/tasmax/v20170208
6,/bdd/CORDEX/output/EUR-11/GERICS/CNRM-CERFACS-CNRM-CM5/rcp85/r1i1p1/GERICS-REMO2015/v1/day/tasmax/v20170208/tasmax_EUR-11_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_GERICS-REMO2015_v1_day_20810101-20851231.nc,CORDEX,output,EUR-11,GERICS,CNRM-CERFACS-CNRM-CM5,rcp85,r1i1p1,GERICS-REMO2015,v1,day,tasmax,v20170208,2081-01-01T00:00:00,2085-12-31T00:00:00,False,True,/bdd/CORDEX/output/EUR-11/GERICS/CNRM-CERFACS-CNRM-CM5/rcp85/r1i1p1/GERICS-REMO2015/v1/day/tasmax/v20170208
7,/bdd/CORDEX/output/EUR-11/GERICS/CNRM-CERFACS-CNRM-CM5/rcp85/r1i1p1/GERICS-REMO2015/v1/day/tasmax/v20170208/tasmax_EUR-11_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_GERICS-REMO2015_v1_day_20760101-20801231.nc,CORDEX,output,EUR-11,GERICS,CNRM-CERFACS-CNRM-CM5,rcp85,r1i1p1,GERICS-REMO2015,v1,day,tasmax,v20170208,2076-01-01T00:00:00,2080-12-31T00:00:00,False,True,/bdd/CORDEX/output/EUR-11/GERICS/CNRM-CERFACS-CNRM-CM5/rcp85/r1i1p1/GERICS-REMO2015/v1/day/tasmax/v20170208
8,/bdd/CORDEX/output/EUR-11/GERICS/CNRM-CERFACS-CNRM-CM5/rcp85/r1i1p1/GERICS-REMO2015/v1/day/tasmax/v20170208/tasmax_EUR-11_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_GERICS-REMO2015_v1_day_20910101-20951231.nc,CORDEX,output,EUR-11,GERICS,CNRM-CERFACS-CNRM-CM5,rcp85,r1i1p1,GERICS-REMO2015,v1,day,tasmax,v20170208,2091-01-01T00:00:00,2095-12-31T00:00:00,False,True,/bdd/CORDEX/output/EUR-11/GERICS/CNRM-CERFACS-CNRM-CM5/rcp85/r1i1p1/GERICS-REMO2015/v1/day/tasmax/v20170208
9,/bdd/CORDEX/output/EUR-11/GERICS/CNRM-CERFACS-CNRM-CM5/rcp85/r1i1p1/GERICS-REMO2015/v1/day/tasmax/v20170208/tasmax_EUR-11_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_GERICS-REMO2015_v1_day_20110101-20151231.nc,CORDEX,output,EUR-11,GERICS,CNRM-CERFACS-CNRM-CM5,rcp85,r1i1p1,GERICS-REMO2015,v1,day,tasmax,v20170208,2011-01-01T00:00:00,2015-12-31T00:00:00,False,True,/bdd/CORDEX/output/EUR-11/GERICS/CNRM-CERFACS-CNRM-CM5/rcp85/r1i1p1/GERICS-REMO2015/v1/day/tasmax/v20170208
